Key;Item Type;Publication Year;Author;Title;Publication Title;ISBN;ISSN;DOI;Url;Abstract Note;Date;Date Added;Date Modified;Access Date;Pages;Num Pages;Issue;Volume;Number Of Volumes;Journal Abbreviation;Short Title;Series;Series Number;Series Text;Series Title;Publisher;Place;Language;Rights;Type;Archive;Archive Location;Library Catalog;Call Number;Extra;Notes;File Attachments;Link Attachments;Manual Tags;Automatic Tags;Editor;Series Editor;Translator;Contributor;Attorney Agent;Book Author;Cast Member;Commenter;Composer;Cosponsor;Counsel;Interviewer;Producer;Recipient;Reviewed Author;Scriptwriter;Words By;Guest;Number;Edition;Running Time;Scale;Medium;Artwork Size;Filing Date;Application Number;Assignee;Issuing Authority;Country;Meeting Name;Conference Name;Court;References;Reporter;Legal Status;Priority Numbers;Programming Language;Version;System;Code;Code Number;Section;Session;Committee;History;Legislative Body;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZUVNDZH8;webpage;2017;;Vignettes Crit'Air : cinq millions de véhicules sont équipés;leparisien.fr;;;;http://www.leparisien.fr/environnement/ville-durable/pollution-5-millions-de-vehicules-equipes-de-vignettes-crit-air-23-02-2017-6705669.php;La vignette Crit'Air est indispensable pour pouvoir circuler dans certaines grandes villes - Paris, Lyon, Grenoble -, en cas de pic de pollution.;23/02/2017;11/05/2017 20:44;11/05/2017 20:44;11/05/2017 20:44;;;;;;;Vignettes Crit'Air;;;;;;;;;;;;;;;;C:\Users\Kim-Anh-Nhi\AppData\Roaming\Zotero\Zotero\Profiles\d4q6iugl.default\zotero\storage\QQU2ZK2S\pollution-5-millions-de-vehicules-equipes-de-vignettes-crit-air-23-02-2017-6705669.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZVWXRNH8;newspaperArticle;2017;OESTERLE, Emmanuelle;L'absence de vignette Crit'Air verbalisée à partir du 1er juillet;Le Figaro;;0182-5852;;;Un décret publié la semaine dernière au Journal Officiel entérine la verbalisation des conducteurs qui ne possèdent pas de vignette Crit'Air sur leur pare-brise et circulent en Zone à Circulation Restreinte (ZCR).;11/05/2017;11/05/2017 21:11;11/05/2017 21:11;;;;;;;;;;;;;;;fr-FR;;;;;Le Figaro;;;;;;;Circulation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3ZIZQF7J;newspaperArticle;2017;OESTERLE, Emmanuelle;L'absence de vignette Crit'Air verbalisée à partir du 1er juillet;Le Figaro;;0182-5852;;;Un décret publié la semaine dernière au Journal Officiel entérine la verbalisation des conducteurs qui ne possèdent pas de vignette Crit'Air sur leur pare-brise et circulent en Zone à Circulation Restreinte (ZCR).;11/05/2017;11/05/2017 21:11;11/05/2017 21:11;;;;;;;;;;;;;;;fr-FR;;;;;Le Figaro;;;;;;;Circulation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QWGF4B5G;webpage;;BFMTV;Vrai ou faux - La vraie part de la voiture dans le pic de pollution;;;;;http://auto.bfmtv.com/actualite/vrai-ou-faux-la-vraie-part-de-la-voiture-dans-le-pic-de-pollution-1068810.html;En cette période de pic de pollution de l'air, l'automobile est pointée du doigt, notamment par la mairie de Paris. Tour d'horizon des accusations et éléments de réponses.;;17/05/2017 07:43;17/05/2017 07:43;17/05/2017 07:43;;;;;;;;;;;;;;;;;;;;;;;C:\Users\Kim-Anh-Nhi\AppData\Roaming\Zotero\Zotero\Profiles\d4q6iugl.default\zotero\storage\PS86TBR3\vrai-ou-faux-la-vraie-part-de-la-voiture-dans-le-pic-de-pollution-1068810.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GAB8SFBS;webpage;2017;;Le lien entre pollution et cancer enfin établi ?;Minutenews;;;;https://www.minutenews.fr/actualite/sante/lien-entre-pollution-cancer-enfin-etabli-206644.html;On s’en doutait fortement, mais c’est maintenant prouvé : la pollution augmente le risque de développer un cancer. En effet, le nombre de cas augmente de 10% dans les zones polluées. Et l’impact est encore plus important sur les cancers du sein et de la prostate.;10/05/2017;17/05/2017 07:50;17/05/2017 07:50;17/05/2017 07:50;;;;;;;;;;;;;;;;;;;;;;;C:\Users\Kim-Anh-Nhi\AppData\Roaming\Zotero\Zotero\Profiles\d4q6iugl.default\zotero\storage\EIWUJ5KF\lien-entre-pollution-cancer-enfin-etabli-206644.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6BX29IW4;webpage;2017;;Les explications du Dr Goerens: Particules fines: quel impact réel sur notre santé?;Wort.lu;;;;http://www.wort.lu/fr/panorama/les-explications-du-dr-goerens-particules-fines-quel-impact-reel-sur-notre-sante-58877172a5e74263e13a9833;Alors qu'un pic de pollution «exceptionnel par son ampleur géographique» touche plusieurs grandes villes en Europe, le Luxembourg n'est pas épargné. Chef de la Division de la Santé au travail et de l'Environnement, le Dr Robert Goerens nous explique qui sont ces fameuses «particules  fines» et les dégâts qu'elles peuvent entraîner dans notre organisme.;24/01/2017;17/05/2017 08:00;17/05/2017 08:00;17/05/2017 08:00;;;;;;;Les explications du Dr Goerens;;;;;;;;;;;;;;;;C:\Users\Kim-Anh-Nhi\AppData\Roaming\Zotero\Zotero\Profiles\d4q6iugl.default\zotero\storage\UZA3S6IG\les-explications-du-dr-goerens-particules-fines-quel-impact-reel-sur-notre-sante-58877172a5e742.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TVQ7BB68;newspaperArticle;2013;Garric, Audrey;Particules fines : vraiment 42 000 morts par an en France ?;Le Monde.fr;;1950-6244;;http://www.lemonde.fr/planete/article/2013/03/06/particules-fines-vraiment-42-000-morts-par-an-en-france_1842963_3244.html;Ce chiffre repris en boucle est issu d'un rapport de la Commission européenne, basé sur des statistiques de 1997. Aujourd'hui, l'étude la plus récente parle de 2 900 décès dans 9 villes françaises polluées.;06/03/2013;17/05/2017 08:00;17/05/2017 08:00;17/05/2017 08:00;;;;;;;Particules fines;;;;;;;fr;;;;;Le Monde;;;;C:\Users\Kim-Anh-Nhi\AppData\Roaming\Zotero\Zotero\Profiles\d4q6iugl.default\zotero\storage\E6QWCJE6\particules-fines-vraiment-42-000-morts-par-an-en-france_1842963_3244.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WRKWEUPC;webpage;;Matin, CNEWS;Six conséquences concrètes de la pollution de l'air sur la santé;;;;;http://www.cnewsmatin.fr/france/2017-05-17/six-consequences-concretes-de-la-pollution-de-lair-sur-la-sante-747469;Les pics de pollution de plus en plus fr&eacute;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SG28UWXN;newspaperArticle;2017;Mandard, Stéphane;Diesel : 38 000 décès dans le monde seraient dus, en 2015, au dépassement des normes;Le Monde.fr;;1950-6244;;http://www.lemonde.fr/pollution/article/2017/05/15/diesel-38-000-deces-dus-au-depassement-des-normes-de-pollution_5128026_1652666.html;Un article publié dans la revue « Nature » révèle que la moitié des voitures sur la planète dépassent les limites réglementaires d’émissions d’oxydes d’azote.;15/05/2017;17/05/2017 08:48;17/05/2017 08:48;17/05/2017 08:48;;;;;;;Diesel;;;;;;;fr;;;;;Le Monde;;;;C:\Users\Kim-Anh-Nhi\AppData\Roaming\Zotero\Zotero\Profiles\d4q6iugl.default\zotero\storage\ADTXCG9N\diesel-38-000-deces-dus-au-depassement-des-normes-de-pollution_5128026_1652666.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NTJSNZ7R;newspaperArticle;2017;OESTERLE, Emmanuelle;L'absence de vignette Crit'Air verbalisée à partir du 1er juillet;Le Figaro;;0182-5852;;http://www.lefigaro.fr/conso/2017/05/11/20010-20170511ARTFIG00137-l-absence-de-vignette-crit-air-verbalisee-a-partir-du-1er-juillet.php;Un décret publié la semaine dernière au Journal Officiel entérine la verbalisation des conducteurs qui ne possèdent pas de vignette Crit'Air sur leur pare-brise et circulent en Zone à Circulation Restreinte (ZCR).;11/05/2017;17/05/2017 09:09;28/05/2017 18:00;;;;;;;;;;;;;;;fr-FR;;;;;Le Figaro;;;;C:\Users\Kim-Anh-Nhi\AppData\Roaming\Zotero\Zotero\Profiles\d4q6iugl.default\zotero\storage\8HG5WVA6\20010-20170511ARTFIG00137-l-absence-de-vignette-crit-air-verbalisee-a-partir-du-1er-juillet.html;;;Circulation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
